id;state;payment_method;estimated_preparation_time;estimated_delivery_time;preparation_time;delivery_time
1;PENDINGPREPARATION;BITCOIN;2020-04-20T15:02:40;2020-04-21T07:36:32;2020-04-21T12:01:44;2020-04-21T09:48:05
2;PENDINGDELIVERER;IZLY;2020-04-20T16:10:50;2020-04-21T04:52:37;2020-04-21T05:08:15;2020-04-20T15:03:56
3;PENDINGDELIVERER;BITCOIN;2020-04-20T23:27:56;2020-04-21T09:14:11;2020-04-20T18:31:04;2020-04-21T08:21:40
4;PENDINGDELIVERER;BITCOIN;2020-04-21T07:32:36;2020-04-21T14:20:19;2020-04-21T01:19:09;2020-04-21T09:08:58
5;PENDINGDELIVERER;IZLY;2020-04-21T11:54:16;2020-04-21T12:30:44;2020-04-20T17:51:17;2020-04-21T11:59:51
6;PENDINGPREPARATION;CB;2020-04-21T07:58:59;2020-04-21T05:30:42;2020-04-20T21:46:07;2020-04-21T12:37:22
7;PENDINGDELIVERER;PAYPAL;2020-04-21T06:28:33;2020-04-20T22:27:57;2020-04-21T12:29:05;2020-04-21T14:36:06
8;COMPLETED;PAYPAL;2020-04-20T20:41:31;2020-04-21T01:25:50;2020-04-21T12:16:20;2020-04-21T06:21:41
9;INPROGRESS;PAYPAL;2020-04-21T13:37:48;2020-04-21T10:10:39;2020-04-21T12:58:14;2020-04-21T06:42:03
10;PENDINGPREPARATION;BITCOIN;2020-04-20T18:16:40;2020-04-21T07:54:44;2020-04-20T23:15:33;2020-04-20T20:18:21
